Activity standard occupational classification,Mode of employment,Sex,Contract marker,Nationality,Academic Year,Number
Professional occupations,Part-time,Female,Non-academic,European Union,2016/17,550
Professional occupations,Part-time,Female,Non-academic,European Union,2017/18,585
Professional occupations,Part-time,Female,Non-academic,European Union,2018/19,595
Professional occupations,Part-time,Female,Non-academic,European Union,2019/20,540
Professional occupations,Part-time,Female,Non-academic,European Union,2020/21,545
Professional occupations,Full-time,Male,Non-academic,European Union,2016/17,865
Professional occupations,Full-time,Male,Non-academic,European Union,2017/18,890
Professional occupations,Full-time,Male,Non-academic,European Union,2018/19,930
Professional occupations,Full-time,Male,Non-academic,European Union,2019/20,920
Professional occupations,Full-time,Male,Non-academic,European Union,2020/21,930
Professional occupations,Part-time,Male,Non-academic,European Union,2016/17,180
Professional occupations,Part-time,Male,Non-academic,European Union,2017/18,160
Professional occupations,Part-time,Male,Non-academic,European Union,2018/19,175
Professional occupations,Part-time,Male,Non-academic,European Union,2019/20,130
Professional occupations,Part-time,Male,Non-academic,European Union,2020/21,155
Professional occupations,Full-time,Other,Non-academic,European Union,2016/17,0
Professional occupations,Full-time,Other,Non-academic,European Union,2017/18,0
Professional occupations,Full-time,Other,Non-academic,European Union,2018/19,0
Professional occupations,Full-time,Other,Non-academic,European Union,2019/20,5
Professional occupations,Full-time,Other,Non-academic,European Union,2020/21,5
Professional occupations,Part-time,Other,Non-academic,European Union,2016/17,0
Professional occupations,Part-time,Other,Non-academic,European Union,2017/18,0
Professional occupations,Part-time,Other,Non-academic,European Union,2018/19,0
Professional occupations,Part-time,Other,Non-academic,European Union,2019/20,0
Professional occupations,Part-time,Other,Non-academic,European Union,2020/21,0
Professional occupations,Full-time,Female,Non-academic,Non-European Union,2016/17,825
Professional occupations,Full-time,Female,Non-academic,Non-European Union,2017/18,860
Professional occupations,Full-time,Female,Non-academic,Non-European Union,2018/19,920
Professional occupations,Full-time,Female,Non-academic,Non-European Union,2019/20,890
Professional occupations,Full-time,Female,Non-academic,Non-European Union,2020/21,955
Professional occupations,Part-time,Female,Non-academic,Non-European Union,2016/17,305
Professional occupations,Part-time,Female,Non-academic,Non-European Union,2017/18,295
Professional occupations,Part-time,Female,Non-academic,Non-European Union,2018/19,290
Professional occupations,Part-time,Female,Non-academic,Non-European Union,2019/20,265
Professional occupations,Part-time,Female,Non-academic,Non-European Union,2020/21,295
Professional occupations,Full-time,Male,Non-academic,Non-European Union,2016/17,650
Professional occupations,Full-time,Male,Non-academic,Non-European Union,2017/18,690
Professional occupations,Full-time,Male,Non-academic,Non-European Union,2018/19,725
Professional occupations,Full-time,Male,Non-academic,Non-European Union,2019/20,715
Professional occupations,Full-time,Male,Non-academic,Non-European Union,2020/21,725
Professional occupations,Part-time,Male,Non-academic,Non-European Union,2016/17,135
Professional occupations,Part-time,Male,Non-academic,Non-European Union,2017/18,100
Professional occupations,Part-time,Male,Non-academic,Non-European Union,2018/19,145
Professional occupations,Part-time,Male,Non-academic,Non-European Union,2019/20,85
Professional occupations,Part-time,Male,Non-academic,Non-European Union,2020/21,140
Professional occupations,Full-time,Other,Non-academic,Non-European Union,2016/17,0
Professional occupations,Full-time,Other,Non-academic,Non-European Union,2017/18,0
Professional occupations,Full-time,Other,Non-academic,Non-European Union,2018/19,0
Professional occupations,Full-time,Other,Non-academic,Non-European Union,2019/20,5
Professional occupations,Full-time,Other,Non-academic,Non-European Union,2020/21,5
Professional occupations,Full-time,Female,Non-academic,Not known,2016/17,80
Professional occupations,Full-time,Female,Non-academic,Not known,2017/18,65
Professional occupations,Full-time,Female,Non-academic,Not known,2018/19,70
Professional occupations,Full-time,Female,Non-academic,Not known,2019/20,85
Professional occupations,Full-time,Female,Non-academic,Not known,2020/21,85
Professional occupations,Part-time,Female,Non-academic,Not known,2016/17,25
Professional occupations,Part-time,Female,Non-academic,Not known,2017/18,25
Professional occupations,Part-time,Female,Non-academic,Not known,2018/19,35
Professional occupations,Part-time,Female,Non-academic,Not known,2019/20,30
Professional occupations,Part-time,Female,Non-academic,Not known,2020/21,35
Professional occupations,Full-time,Male,Non-academic,Not known,2016/17,100
Professional occupations,Full-time,Male,Non-academic,Not known,2017/18,60
Professional occupations,Full-time,Male,Non-academic,Not known,2018/19,65
Professional occupations,Full-time,Male,Non-academic,Not known,2019/20,75
Professional occupations,Full-time,Male,Non-academic,Not known,2020/21,80
Professional occupations,Part-time,Male,Non-academic,Not known,2016/17,15
Professional occupations,Part-time,Male,Non-academic,Not known,2017/18,15
Professional occupations,Part-time,Male,Non-academic,Not known,2018/19,15
Professional occupations,Part-time,Male,Non-academic,Not known,2019/20,15
Professional occupations,Part-time,Male,Non-academic,Not known,2020/21,15
Professional occupations,Full-time,Other,Non-academic,Not known,2016/17,0
Professional occupations,Full-time,Other,Non-academic,Not known,2017/18,0
Professional occupations,Full-time,Other,Non-academic,Not known,2018/19,0
Professional occupations,Full-time,Other,Non-academic,Not known,2019/20,0
Professional occupations,Full-time,Other,Non-academic,Not known,2020/21,0
Professional occupations,Part-time,Other,Non-academic,Not known,2016/17,0
Professional occupations,Part-time,Other,Non-academic,Not known,2017/18,0
Professional occupations,Part-time,Other,Non-academic,Not known,2018/19,0
Professional occupations,Part-time,Other,Non-academic,Not known,2019/20,0
Professional occupations,Part-time,Other,Non-academic,Not known,2020/21,0
Professional occupations,Full-time,Female,Non-academic,UK,2016/17,14505
Professional occupations,Full-time,Female,Non-academic,UK,2017/18,15325
Professional occupations,Full-time,Female,Non-academic,UK,2018/19,16085
Professional occupations,Full-time,Female,Non-academic,UK,2019/20,14955
Professional occupations,Full-time,Female,Non-academic,UK,2020/21,15265
Professional occupations,Part-time,Female,Non-academic,UK,2016/17,6695
Professional occupations,Part-time,Female,Non-academic,UK,2017/18,7210
Professional occupations,Part-time,Female,Non-academic,UK,2018/19,7520
Professional occupations,Part-time,Female,Non-academic,UK,2019/20,6955
Professional occupations,Part-time,Female,Non-academic,UK,2020/21,6900
Professional occupations,Full-time,Male,Non-academic,UK,2016/17,14780
Professional occupations,Full-time,Male,Non-academic,UK,2017/18,15430
Professional occupations,Full-time,Male,Non-academic,UK,2018/19,16005
Professional occupations,Full-time,Male,Non-academic,UK,2019/20,14475
Professional occupations,Full-time,Male,Non-academic,UK,2020/21,14675
Professional occupations,Part-time,Male,Non-academic,UK,2016/17,1770
Professional occupations,Part-time,Male,Non-academic,UK,2017/18,1770
Professional occupations,Part-time,Male,Non-academic,UK,2018/19,1845
Professional occupations,Part-time,Male,Non-academic,UK,2019/20,1660
Professional occupations,Part-time,Male,Non-academic,UK,2020/21,1720
Professional occupations,Full-time,Other,Non-academic,UK,2016/17,0
Professional occupations,Full-time,Other,Non-academic,UK,2017/18,15
Professional occupations,Full-time,Other,Non-academic,UK,2018/19,20
Professional occupations,Full-time,Other,Non-academic,UK,2019/20,45
Professional occupations,Full-time,Other,Non-academic,UK,2020/21,60
Professional occupations,Part-time,Other,Non-academic,UK,2016/17,0
Professional occupations,Part-time,Other,Non-academic,UK,2017/18,5
Professional occupations,Part-time,Other,Non-academic,UK,2018/19,5
Professional occupations,Part-time,Other,Non-academic,UK,2019/20,15
Professional occupations,Part-time,Other,Non-academic,UK,2020/21,10
Professional occupations,Full-time,Female,Non-academic,All,2016/17,16765
Professional occupations,Full-time,Female,Non-academic,All,2017/18,17715
Professional occupations,Full-time,Female,Non-academic,All,2018/19,18740
Professional occupations,Full-time,Female,Non-academic,All,2019/20,17530
Professional occupations,Full-time,Female,Non-academic,All,2020/21,18040
Professional occupations,Part-time,Female,Non-academic,All,2016/17,7570
Professional occupations,Part-time,Female,Non-academic,All,2017/18,8125
Professional occupations,Part-time,Female,Non-academic,All,2018/19,8440
Professional occupations,Part-time,Female,Non-academic,All,2019/20,7790
Professional occupations,Part-time,Female,Non-academic,All,2020/21,7770
Professional occupations,Full-time,Male,Non-academic,All,2016/17,16400
Professional occupations,Full-time,Male,Non-academic,All,2017/18,17070
Professional occupations,Full-time,Male,Non-academic,All,2018/19,17725
Professional occupations,Full-time,Male,Non-academic,All,2019/20,16185
Professional occupations,Full-time,Male,Non-academic,All,2020/21,16405
Professional occupations,Part-time,Male,Non-academic,All,2016/17,2100
Professional occupations,Part-time,Male,Non-academic,All,2017/18,2050
Professional occupations,Part-time,Male,Non-academic,All,2018/19,2180
Professional occupations,Part-time,Male,Non-academic,All,2019/20,1895
Professional occupations,Part-time,Male,Non-academic,All,2020/21,2025
Professional occupations,Full-time,Other,Non-academic,All,2016/17,0
Professional occupations,Full-time,Other,Non-academic,All,2017/18,15
Professional occupations,Full-time,Other,Non-academic,All,2018/19,20
Professional occupations,Full-time,Other,Non-academic,All,2019/20,60
Professional occupations,Full-time,Other,Non-academic,All,2020/21,70
Professional occupations,Part-time,Other,Non-academic,All,2016/17,0
Professional occupations,Part-time,Other,Non-academic,All,2017/18,5
Professional occupations,Part-time,Other,Non-academic,All,2018/19,5
Professional occupations,Part-time,Other,Non-academic,All,2019/20,15
Professional occupations,Part-time,Other,Non-academic,All,2020/21,15
Professional occupations,Full-time,All,Non-academic,All,2016/17,33170
Professional occupations,Full-time,All,Non-academic,All,2017/18,34800
Professional occupations,Full-time,All,Non-academic,All,2018/19,36485
Professional occupations,Full-time,All,Non-academic,All,2019/20,33775
Professional occupations,Full-time,All,Non-academic,All,2020/21,34515
Professional occupations,Full-time,All,Non-academic,European Union,2016/17,2230
Professional occupations,Full-time,All,Non-academic,European Union,2017/18,2355
Professional occupations,Full-time,All,Non-academic,European Union,2018/19,2590
Professional occupations,Full-time,All,Non-academic,European Union,2019/20,2525
Professional occupations,Full-time,All,Non-academic,European Union,2020/21,2680
Professional occupations,Full-time,All,Non-academic,Non-European Union,2016/17,1475
Professional occupations,Full-time,All,Non-academic,Non-European Union,2017/18,1550
Professional occupations,Full-time,All,Non-academic,Non-European Union,2018/19,1645
Professional occupations,Full-time,All,Non-academic,Non-European Union,2019/20,1610
Professional occupations,Full-time,All,Non-academic,Non-European Union,2020/21,1680
Professional occupations,Full-time,All,Non-academic,Not known,2016/17,180
Professional occupations,Full-time,All,Non-academic,Not known,2017/18,125
Professional occupations,Full-time,All,Non-academic,Not known,2018/19,135
Professional occupations,Full-time,All,Non-academic,Not known,2019/20,155
Professional occupations,Full-time,All,Non-academic,Not known,2020/21,160
Professional occupations,Full-time,All,Non-academic,UK,2016/17,29285
Professional occupations,Full-time,All,Non-academic,UK,2017/18,30765
Professional occupations,Full-time,All,Non-academic,UK,2018/19,32110
Professional occupations,Full-time,All,Non-academic,UK,2019/20,29480
Professional occupations,Full-time,All,Non-academic,UK,2020/21,29995
Professional occupations,Part-time,All,Non-academic,All,2016/17,9670
Professional occupations,Part-time,All,Non-academic,All,2017/18,10175
Professional occupations,Part-time,All,Non-academic,All,2018/19,10625
Professional occupations,Part-time,All,Non-academic,All,2019/20,9700
Professional occupations,Part-time,All,Non-academic,All,2020/21,9810
Professional occupations,Part-time,All,Non-academic,European Union,2016/17,730
Professional occupations,Part-time,All,Non-academic,European Union,2017/18,750
Professional occupations,Part-time,All,Non-academic,European Union,2018/19,770
Professional occupations,Part-time,All,Non-academic,European Union,2019/20,675
Professional occupations,Part-time,All,Non-academic,European Union,2020/21,695
Professional occupations,Part-time,All,Non-academic,Non-European Union,2016/17,435
Professional occupations,Part-time,All,Non-academic,Non-European Union,2017/18,395
Professional occupations,Part-time,All,Non-academic,Non-European Union,2018/19,440
Professional occupations,Part-time,All,Non-academic,Non-European Union,2019/20,355
Professional occupations,Part-time,All,Non-academic,Non-European Union,2020/21,435
Professional occupations,Part-time,All,Non-academic,Not known,2016/17,45
Professional occupations,Part-time,All,Non-academic,Not known,2017/18,45
Professional occupations,Part-time,All,Non-academic,Not known,2018/19,50
Professional occupations,Part-time,All,Non-academic,Not known,2019/20,45
Professional occupations,Part-time,All,Non-academic,Not known,2020/21,50
Professional occupations,Part-time,All,Non-academic,UK,2016/17,8460
Professional occupations,Part-time,All,Non-academic,UK,2017/18,8990
Professional occupations,Part-time,All,Non-academic,UK,2018/19,9370
Professional occupations,Part-time,All,Non-academic,UK,2019/20,8625
Professional occupations,Part-time,All,Non-academic,UK,2020/21,8630
Professional occupations,All,All,Non-academic,All,2016/17,42840
Professional occupations,All,All,Non-academic,All,2017/18,44975
Professional occupations,All,All,Non-academic,All,2018/19,47110
Professional occupations,All,All,Non-academic,All,2019/20,43475
Professional occupations,All,All,Non-academic,All,2020/21,44325
Professional occupations,All,Female,Non-academic,All,2016/17,24335
Professional occupations,All,Female,Non-academic,All,2017/18,25835
Professional occupations,All,Female,Non-academic,All,2018/19,27180
Professional occupations,All,Female,Non-academic,All,2019/20,25320
Professional occupations,All,Female,Non-academic,All,2020/21,25810
Professional occupations,All,Male,Non-academic,All,2016/17,18500
Professional occupations,All,Male,Non-academic,All,2017/18,19120
Professional occupations,All,Male,Non-academic,All,2018/19,19905
Professional occupations,All,Male,Non-academic,All,2019/20,18075
Professional occupations,All,Male,Non-academic,All,2020/21,18430
Professional occupations,All,Other,Non-academic,All,2016/17,0
Professional occupations,All,Other,Non-academic,All,2017/18,20
Professional occupations,All,Other,Non-academic,All,2018/19,25
Professional occupations,All,Other,Non-academic,All,2019/20,75
Professional occupations,All,Other,Non-academic,All,2020/21,80
Professional occupations,All,All,Non-academic,European Union,2016/17,2960
Professional occupations,All,All,Non-academic,European Union,2017/18,3105
Professional occupations,All,All,Non-academic,European Union,2018/19,3360
Professional occupations,All,All,Non-academic,European Union,2019/20,3205
Professional occupations,All,All,Non-academic,European Union,2020/21,3375
Professional occupations,All,Female,Non-academic,European Union,2016/17,1910
Professional occupations,All,Female,Non-academic,European Union,2017/18,2055
Professional occupations,All,Female,Non-academic,European Union,2018/19,2255
Professional occupations,All,Female,Non-academic,European Union,2019/20,2145
Professional occupations,All,Female,Non-academic,European Union,2020/21,2280
Professional occupations,All,Male,Non-academic,European Union,2016/17,1050
Professional occupations,All,Male,Non-academic,European Union,2017/18,1055
Professional occupations,All,Male,Non-academic,European Union,2018/19,1105
Professional occupations,All,Male,Non-academic,European Union,2019/20,1050
Professional occupations,All,Male,Non-academic,European Union,2020/21,1085
Professional occupations,All,Other,Non-academic,European Union,2016/17,0
Professional occupations,All,Other,Non-academic,European Union,2017/18,0
Professional occupations,All,Other,Non-academic,European Union,2018/19,0
Professional occupations,All,Other,Non-academic,European Union,2019/20,10
Professional occupations,All,Other,Non-academic,European Union,2020/21,10
Professional occupations,All,All,Non-academic,Non-European Union,2016/17,1910
Professional occupations,All,All,Non-academic,Non-European Union,2017/18,1945
Professional occupations,All,All,Non-academic,Non-European Union,2018/19,2085
Professional occupations,All,All,Non-academic,Non-European Union,2019/20,1965
Professional occupations,All,All,Non-academic,Non-European Union,2020/21,2110
Professional occupations,All,Female,Non-academic,Non-European Union,2016/17,1125
Professional occupations,All,Female,Non-academic,Non-European Union,2017/18,1160
Professional occupations,All,Female,Non-academic,Non-European Union,2018/19,1210
Professional occupations,All,Female,Non-academic,Non-European Union,2019/20,1155
Professional occupations,All,Female,Non-academic,Non-European Union,2020/21,1250
Professional occupations,All,Male,Non-academic,Non-European Union,2016/17,785
Professional occupations,All,Male,Non-academic,Non-European Union,2017/18,785
Professional occupations,All,Male,Non-academic,Non-European Union,2018/19,875
Professional occupations,All,Male,Non-academic,Non-European Union,2019/20,800
Professional occupations,All,Male,Non-academic,Non-European Union,2020/21,860
Professional occupations,All,Other,Non-academic,Non-European Union,2016/17,0
Professional occupations,All,Other,Non-academic,Non-European Union,2017/18,0
Professional occupations,All,Other,Non-academic,Non-European Union,2018/19,0
Professional occupations,All,Other,Non-academic,Non-European Union,2019/20,5
Professional occupations,All,Other,Non-academic,Non-European Union,2020/21,5
Professional occupations,All,All,Non-academic,Not known,2016/17,220
Professional occupations,All,All,Non-academic,Not known,2017/18,170
Professional occupations,All,All,Non-academic,Not known,2018/19,185
Professional occupations,All,All,Non-academic,Not known,2019/20,200
Professional occupations,All,All,Non-academic,Not known,2020/21,215
Professional occupations,All,Female,Non-academic,Not known,2016/17,105
Professional occupations,All,Female,Non-academic,Not known,2017/18,90
Professional occupations,All,Female,Non-academic,Not known,2018/19,105
Professional occupations,All,Female,Non-academic,Not known,2019/20,110
Professional occupations,All,Female,Non-academic,Not known,2020/21,120
Professional occupations,All,Male,Non-academic,Not known,2016/17,115
Professional occupations,All,Male,Non-academic,Not known,2017/18,75
Professional occupations,All,Male,Non-academic,Not known,2018/19,80
Professional occupations,All,Male,Non-academic,Not known,2019/20,90
Professional occupations,All,Male,Non-academic,Not known,2020/21,95
Professional occupations,All,Other,Non-academic,Not known,2016/17,0
Professional occupations,All,Other,Non-academic,Not known,2017/18,0
Professional occupations,All,Other,Non-academic,Not known,2018/19,0
Professional occupations,All,Other,Non-academic,Not known,2019/20,0
Professional occupations,All,Other,Non-academic,Not known,2020/21,0
Professional occupations,All,All,Non-academic,UK,2016/17,37745
Professional occupations,All,All,Non-academic,UK,2017/18,39755
Professional occupations,All,All,Non-academic,UK,2018/19,41480
Professional occupations,All,All,Non-academic,UK,2019/20,38105
Professional occupations,All,All,Non-academic,UK,2020/21,38625
Professional occupations,All,Female,Non-academic,UK,2016/17,21195
Professional occupations,All,Female,Non-academic,UK,2017/18,22535
Professional occupations,All,Female,Non-academic,UK,2018/19,23605
Professional occupations,All,Female,Non-academic,UK,2019/20,21910
Professional occupations,All,Female,Non-academic,UK,2020/21,22160
Professional occupations,All,Male,Non-academic,UK,2016/17,16550
Professional occupations,All,Male,Non-academic,UK,2017/18,17200
Professional occupations,All,Male,Non-academic,UK,2018/19,17850
Professional occupations,All,Male,Non-academic,UK,2019/20,16135
Professional occupations,All,Male,Non-academic,UK,2020/21,16390
Professional occupations,All,Other,Non-academic,UK,2016/17,0
Professional occupations,All,Other,Non-academic,UK,2017/18,20
Professional occupations,All,Other,Non-academic,UK,2018/19,20
Professional occupations,All,Other,Non-academic,UK,2019/20,60
Professional occupations,All,Other,Non-academic,UK,2020/21,70
Associate professional and technical occupations,Full-time,Female,Non-academic,European Union,2016/17,1380
Associate professional and technical occupations,Full-time,Female,Non-academic,European Union,2017/18,1505
Associate professional and technical occupations,Full-time,Female,Non-academic,European Union,2018/19,1605
Associate professional and technical occupations,Full-time,Female,Non-academic,European Union,2019/20,1480
Associate professional and technical occupations,Full-time,Female,Non-academic,European Union,2020/21,1505
Associate professional and technical occupations,Part-time,Female,Non-academic,European Union,2016/17,470
Associate professional and technical occupations,Part-time,Female,Non-academic,European Union,2017/18,490
Associate professional and technical occupations,Part-time,Female,Non-academic,European Union,2018/19,530
Associate professional and technical occupations,Part-time,Female,Non-academic,European Union,2019/20,460
Associate professional and technical occupations,Part-time,Female,Non-academic,European Union,2020/21,445
Associate professional and technical occupations,Full-time,Male,Non-academic,European Union,2016/17,865
Associate professional and technical occupations,Full-time,Male,Non-academic,European Union,2017/18,910
Associate professional and technical occupations,Full-time,Male,Non-academic,European Union,2018/19,955
Associate professional and technical occupations,Full-time,Male,Non-academic,European Union,2019/20,885
Associate professional and technical occupations,Full-time,Male,Non-academic,European Union,2020/21,905
Associate professional and technical occupations,Part-time,Male,Non-academic,European Union,2016/17,135
Associate professional and technical occupations,Part-time,Male,Non-academic,European Union,2017/18,155
Associate professional and technical occupations,Part-time,Male,Non-academic,European Union,2018/19,165
Associate professional and technical occupations,Part-time,Male,Non-academic,European Union,2019/20,120
Associate professional and technical occupations,Part-time,Male,Non-academic,European Union,2020/21,110
Associate professional and technical occupations,Full-time,Other,Non-academic,European Union,2016/17,0
Associate professional and technical occupations,Full-time,Other,Non-academic,European Union,2017/18,0
Associate professional and technical occupations,Full-time,Other,Non-academic,European Union,2018/19,0
Associate professional and technical occupations,Full-time,Other,Non-academic,European Union,2019/20,5
Associate professional and technical occupations,Full-time,Other,Non-academic,European Union,2020/21,10
Associate professional and technical occupations,Full-time,Female,Non-academic,Non-European Union,2016/17,735
Associate professional and technical occupations,Full-time,Female,Non-academic,Non-European Union,2017/18,735
Associate professional and technical occupations,Full-time,Female,Non-academic,Non-European Union,2018/19,770
Associate professional and technical occupations,Full-time,Female,Non-academic,Non-European Union,2019/20,675
Associate professional and technical occupations,Full-time,Female,Non-academic,Non-European Union,2020/21,740
Associate professional and technical occupations,Part-time,Female,Non-academic,Non-European Union,2016/17,295
Associate professional and technical occupations,Part-time,Female,Non-academic,Non-European Union,2017/18,285
Associate professional and technical occupations,Part-time,Female,Non-academic,Non-European Union,2018/19,290
Associate professional and technical occupations,Part-time,Female,Non-academic,Non-European Union,2019/20,265
Associate professional and technical occupations,Part-time,Female,Non-academic,Non-European Union,2020/21,245
Associate professional and technical occupations,Full-time,Male,Non-academic,Non-European Union,2016/17,525
Associate professional and technical occupations,Full-time,Male,Non-academic,Non-European Union,2017/18,510
Associate professional and technical occupations,Full-time,Male,Non-academic,Non-European Union,2018/19,520
Associate professional and technical occupations,Full-time,Male,Non-academic,Non-European Union,2019/20,460
Associate professional and technical occupations,Full-time,Male,Non-academic,Non-European Union,2020/21,490
Associate professional and technical occupations,Part-time,Male,Non-academic,Non-European Union,2016/17,135
Associate professional and technical occupations,Part-time,Male,Non-academic,Non-European Union,2017/18,130
Associate professional and technical occupations,Part-time,Male,Non-academic,Non-European Union,2018/19,120
Associate professional and technical occupations,Part-time,Male,Non-academic,Non-European Union,2019/20,80
Associate professional and technical occupations,Part-time,Male,Non-academic,Non-European Union,2020/21,70
Associate professional and technical occupations,Full-time,Other,Non-academic,Non-European Union,2016/17,0
Associate professional and technical occupations,Full-time,Other,Non-academic,Non-European Union,2017/18,0
Associate professional and technical occupations,Full-time,Other,Non-academic,Non-European Union,2018/19,0
Associate professional and technical occupations,Full-time,Other,Non-academic,Non-European Union,2019/20,0
Associate professional and technical occupations,Full-time,Other,Non-academic,Non-European Union,2020/21,0
Associate professional and technical occupations,Part-time,Other,Non-academic,Non-European Union,2016/17,0
Associate professional and technical occupations,Part-time,Other,Non-academic,Non-European Union,2017/18,0
Associate professional and technical occupations,Part-time,Other,Non-academic,Non-European Union,2018/19,0
Associate professional and technical occupations,Part-time,Other,Non-academic,Non-European Union,2019/20,0
Associate professional and technical occupations,Part-time,Other,Non-academic,Non-European Union,2020/21,0
Associate professional and technical occupations,Full-time,Female,Non-academic,Not known,2016/17,110
Associate professional and technical occupations,Full-time,Female,Non-academic,Not known,2017/18,70
Associate professional and technical occupations,Full-time,Female,Non-academic,Not known,2018/19,75
Associate professional and technical occupations,Full-time,Female,Non-academic,Not known,2019/20,90
Associate professional and technical occupations,Full-time,Female,Non-academic,Not known,2020/21,85
Associate professional and technical occupations,Part-time,Female,Non-academic,Not known,2016/17,65
Associate professional and technical occupations,Part-time,Female,Non-academic,Not known,2017/18,40
Associate professional and technical occupations,Part-time,Female,Non-academic,Not known,2018/19,30
Associate professional and technical occupations,Part-time,Female,Non-academic,Not known,2019/20,30
Associate professional and technical occupations,Part-time,Female,Non-academic,Not known,2020/21,35
Associate professional and technical occupations,Full-time,Male,Non-academic,Not known,2016/17,140
Associate professional and technical occupations,Full-time,Male,Non-academic,Not known,2017/18,105
Associate professional and technical occupations,Full-time,Male,Non-academic,Not known,2018/19,95
Associate professional and technical occupations,Full-time,Male,Non-academic,Not known,2019/20,105
Associate professional and technical occupations,Full-time,Male,Non-academic,Not known,2020/21,90
Associate professional and technical occupations,Part-time,Male,Non-academic,Not known,2016/17,30
Associate professional and technical occupations,Part-time,Male,Non-academic,Not known,2017/18,30
Associate professional and technical occupations,Part-time,Male,Non-academic,Not known,2018/19,20
Associate professional and technical occupations,Part-time,Male,Non-academic,Not known,2019/20,15
Associate professional and technical occupations,Part-time,Male,Non-academic,Not known,2020/21,10
Associate professional and technical occupations,Full-time,Other,Non-academic,Not known,2016/17,0
Associate professional and technical occupations,Full-time,Other,Non-academic,Not known,2017/18,0
Associate professional and technical occupations,Full-time,Other,Non-academic,Not known,2018/19,0
Associate professional and technical occupations,Full-time,Other,Non-academic,Not known,2019/20,0
Associate professional and technical occupations,Full-time,Other,Non-academic,Not known,2020/21,0
Associate professional and technical occupations,Part-time,Other,Non-academic,Not known,2016/17,0
Associate professional and technical occupations,Part-time,Other,Non-academic,Not known,2017/18,0
Associate professional and technical occupations,Part-time,Other,Non-academic,Not known,2018/19,0
Associate professional and technical occupations,Part-time,Other,Non-academic,Not known,2019/20,0
Associate professional and technical occupations,Part-time,Other,Non-academic,Not known,2020/21,0
Associate professional and technical occupations,Full-time,Female,Non-academic,UK,2016/17,14975
Associate professional and technical occupations,Full-time,Female,Non-academic,UK,2017/18,15535
Associate professional and technical occupations,Full-time,Female,Non-academic,UK,2018/19,16285
Associate professional and technical occupations,Full-time,Female,Non-academic,UK,2019/20,14465
Associate professional and technical occupations,Full-time,Female,Non-academic,UK,2020/21,14360
Associate professional and technical occupations,Part-time,Female,Non-academic,UK,2016/17,7615
Associate professional and technical occupations,Part-time,Female,Non-academic,UK,2017/18,7890
Associate professional and technical occupations,Part-time,Female,Non-academic,UK,2018/19,8235
Associate professional and technical occupations,Part-time,Female,Non-academic,UK,2019/20,7205
Associate professional and technical occupations,Part-time,Female,Non-academic,UK,2020/21,6890
Associate professional and technical occupations,Full-time,Male,Non-academic,UK,2016/17,17645
Associate professional and technical occupations,Full-time,Male,Non-academic,UK,2017/18,17870
Associate professional and technical occupations,Full-time,Male,Non-academic,UK,2018/19,18170
Associate professional and technical occupations,Full-time,Male,Non-academic,UK,2019/20,15830
Associate professional and technical occupations,Full-time,Male,Non-academic,UK,2020/21,15625
Associate professional and technical occupations,Part-time,Male,Non-academic,UK,2016/17,2210
Associate professional and technical occupations,Part-time,Male,Non-academic,UK,2017/18,2345
Associate professional and technical occupations,Part-time,Male,Non-academic,UK,2018/19,2415
Associate professional and technical occupations,Part-time,Male,Non-academic,UK,2019/20,2140
Associate professional and technical occupations,Part-time,Male,Non-academic,UK,2020/21,1980
Associate professional and technical occupations,Full-time,Other,Non-academic,UK,2016/17,0
Associate professional and technical occupations,Full-time,Other,Non-academic,UK,2017/18,10
Associate professional and technical occupations,Full-time,Other,Non-academic,UK,2018/19,20
Associate professional and technical occupations,Full-time,Other,Non-academic,UK,2019/20,45
Associate professional and technical occupations,Full-time,Other,Non-academic,UK,2020/21,50
Associate professional and technical occupations,Part-time,Other,Non-academic,UK,2016/17,0
Associate professional and technical occupations,Part-time,Other,Non-academic,UK,2017/18,5
Associate professional and technical occupations,Part-time,Other,Non-academic,UK,2018/19,5
Associate professional and technical occupations,Part-time,Other,Non-academic,UK,2019/20,10
Associate professional and technical occupations,Part-time,Other,Non-academic,UK,2020/21,10
Associate professional and technical occupations,Full-time,Female,Non-academic,All,2016/17,17200
Associate professional and technical occupations,Full-time,Female,Non-academic,All,2017/18,17845
Associate professional and technical occupations,Full-time,Female,Non-academic,All,2018/19,18735
Associate professional and technical occupations,Full-time,Female,Non-academic,All,2019/20,16710
Associate professional and technical occupations,Full-time,Female,Non-academic,All,2020/21,16690
Associate professional and technical occupations,Part-time,Female,Non-academic,All,2016/17,8445
Associate professional and technical occupations,Part-time,Female,Non-academic,All,2017/18,8705
Associate professional and technical occupations,Part-time,Female,Non-academic,All,2018/19,9085
Associate professional and technical occupations,Part-time,Female,Non-academic,All,2019/20,7965
Associate professional and technical occupations,Part-time,Female,Non-academic,All,2020/21,7615
Associate professional and technical occupations,Full-time,Male,Non-academic,All,2016/17,19175
Associate professional and technical occupations,Full-time,Male,Non-academic,All,2017/18,19400
Associate professional and technical occupations,Full-time,Male,Non-academic,All,2018/19,19740
Associate professional and technical occupations,Full-time,Male,Non-academic,All,2019/20,17280
Associate professional and technical occupations,Full-time,Male,Non-academic,All,2020/21,17110
Associate professional and technical occupations,Part-time,Male,Non-academic,All,2016/17,2515
